submitter_id.samples,mir_vae_1,mir_vae_2,mir_vae_3,mir_vae_4,mir_vae_5,mir_vae_6,mir_vae_7,mir_vae_8,mir_vae_9,mir_vae_10,mir_vae_11,mir_vae_12,mir_vae_13,mir_vae_14,mir_vae_15,mir_vae_16,mir_vae_17,mir_vae_18,mir_vae_19,mir_vae_20,mir_vae_21,mir_vae_22,mir_vae_23,mir_vae_24,mir_vae_25,mir_vae_26,mir_vae_27,mir_vae_28,mir_vae_29,mir_vae_30,mir_vae_31,mir_vae_32,label_mir
TCGA-EW-A1PD-01,1.2033058,0.93169737,-0.83479583,0.708843,-0.6148092,-1.1528198,0.11757672,-0.060636554,1.3331015,-2.4695718,0.43268746,1.7888027,0.59602785,1.3179638,0.8523904,-0.242535,1.4983689,-0.62871355,1.1607953,0.05332136,-0.2998901,-1.4564679,0.041063093,0.37109703,-0.3812812,-0.49128392,-0.3140479,-1.3384979,0.27682537,-0.87461364,-0.4897477,0.30109364,1
TCGA-EW-A1PE-01,1.8708345,-0.47760084,0.8033566,-0.62502825,0.022158816,0.6081249,2.266334,1.5796036,-1.6543102,1.0188683,0.48339787,0.37713587,0.76304376,-1.4167036,-0.94304943,0.5008593,-0.79633194,0.07450445,-0.8875946,0.2690539,-0.8896359,-0.2265176,0.66578245,0.4504272,-1.1867503,-1.1353078,-0.71657926,0.21291466,-1.3337039,-0.92021817,-2.043744,0.71943164,1
TCGA-EW-A1PF-01,0.06561626,1.7994413,-0.10594874,-0.6558594,0.6677371,-0.4894719,-1.7824886,0.65136415,-0.2889962,-0.3025177,-1.6873798,0.037336282,0.6945209,0.5705671,-0.10016113,-0.24090676,0.9215939,0.2830457,-0.83655465,-1.9419036,-0.81590533,-0.94057024,1.1540794,0.6000101,0.77582276,-3.4795325,1.4655577,0.3452281,-0.36896488,-0.69620764,0.5743592,0.27856615,1
TCGA-EW-A1PG-01,0.88831776,-0.7864857,1.1752518,1.0178183,-0.28938258,-0.7837728,-0.9153366,0.17028795,-0.6059802,-1.367496,-0.6198692,0.6842279,0.22009456,0.07655618,-0.95265245,0.2340788,1.3074765,0.87557375,-0.4491001,1.7682018,0.6590349,0.35567504,1.1330478,-0.78339237,-1.1743506,1.6851901,-0.49942335,-0.4233803,0.21118145,-0.5936555,0.11992795,-0.009982243,1
TCGA-EW-A1PH-01,2.1275365,-0.7011255,-0.20284364,-0.1608307,-0.765592,0.18960051,0.15686502,-1.1033912,-0.6661686,-0.8460256,1.1862717,1.9863447,0.6181904,0.7137235,-0.47119173,-0.0278711,0.26098245,0.4381555,0.94071335,-0.97163737,1.1368278,0.45183232,1.4621054,-0.25252736,-0.057896934,0.4768928,-0.0006877141,0.5094844,1.6978813,-1.5580609,-1.4260463,-1.0013053,1
TCGA-EW-A2FR-01,-0.22229354,-1.4278827,-0.9716568,-0.114332795,-1.36063,-0.27159533,0.2533508,-0.49659905,-0.3140689,0.6809288,-0.053743403,-2.2159138,-1.2481875,1.4189298,-0.30041614,1.2614954,-0.31653357,-1.2605475,1.8155228,-0.045693107,0.18271981,-0.24774483,-0.11256841,0.4995215,0.5752322,-0.9581274,-1.2276824,-1.1145664,0.6592514,-0.099954665,-0.727887,-0.4876721,1
TCGA-EW-A2FS-01,0.8992643,-0.8805345,-0.7159607,0.9012581,-0.06368213,-0.8551261,-1.124216,0.5458979,0.7378087,-1.1953839,-0.20828097,-0.08628762,-0.2744208,-1.6759661,-1.1036758,0.49744424,-3.1948082,-0.33932737,-0.052287605,-0.71049964,0.5934701,1.6991897,0.29259712,0.077401854,0.9521618,0.9934676,0.28546885,-1.3047606,1.2875185,-0.06494263,1.1843412,1.4789723,1
TCGA-EW-A2FV-01,0.3651123,-2.3594732,-2.2933373,-2.1374683,0.0015858128,0.80714244,-1.2748625,-0.28335196,0.25470966,-0.028896475,-0.0022131081,-0.0674044,1.658365,0.79526603,0.5433174,-0.2147616,0.026009744,0.88676614,-0.6359077,0.07190569,1.3762636,0.31032008,0.8778298,0.64286435,-1.3882748,0.08284834,-0.8085496,0.8400085,-0.9129227,-0.69735175,-0.7674838,0.47795513,1
TCGA-EW-A2FW-01,0.44319242,0.38264725,-1.8623976,0.68074495,1.1481254,0.43199453,-0.18934633,-2.2267811,1.0874678,-0.982742,-2.9234884,1.3578275,1.823117,0.28183413,0.39692035,1.312272,0.9970674,-1.0545338,-0.9866701,-0.33753857,1.7609452,-0.9797257,0.03006448,0.17051503,0.31635073,1.6675793,-0.08461953,0.683211,-0.36716983,-1.2281111,0.35478827,-0.49457812,1
TCGA-EW-A3E8-01,0.5166197,-0.30011967,0.72985077,-0.53242624,-0.5652396,-0.541781,-0.6041397,0.4254648,-0.4996586,-0.29882148,0.27816218,-0.65920866,-0.8007264,-0.45058924,-0.062111527,-0.53635395,1.6098236,1.2687708,-0.24669667,-1.257006,-0.770595,-1.666058,-0.5261111,-0.49837935,0.36026478,0.47090882,-0.17215739,-0.20401539,0.39473456,1.3135173,1.131446,0.9919341,1
