submitter_id.samples,wsi_vae_1,wsi_vae_2,wsi_vae_3,wsi_vae_4,wsi_vae_5,wsi_vae_6,wsi_vae_7,wsi_vae_8,wsi_vae_9,wsi_vae_10,wsi_vae_11,wsi_vae_12,wsi_vae_13,wsi_vae_14,wsi_vae_15,wsi_vae_16,wsi_vae_17,wsi_vae_18,wsi_vae_19,wsi_vae_20,wsi_vae_21,wsi_vae_22,wsi_vae_23,wsi_vae_24,wsi_vae_25,wsi_vae_26,wsi_vae_27,wsi_vae_28,wsi_vae_29,wsi_vae_30,wsi_vae_31,wsi_vae_32,label_wsi
TCGA-A2-A3XW-01,-0.50048083,-0.46089426,0.6061998,0.5033686,1.1290555,0.23713188,0.6220402,-0.5559825,0.069057554,-0.3814925,-0.23164882,-0.7863154,-0.13140562,0.097759165,-0.11130932,-0.058032196,-0.41750506,-0.6601858,0.758075,1.1734197,0.12706956,0.8995608,0.50973666,-0.01275681,1.625547,-0.37656778,0.04011671,-0.29798326,-0.52604896,0.71673274,-0.50897413,1.6328025,1
TCGA-A2-A3XX-01,-1.4830172,0.43112108,0.3988588,2.3578815,0.7960823,-1.7953842,-0.16552486,1.0199311,-0.9219055,0.5146585,0.94074434,1.2546625,0.17798784,0.4915707,0.5014155,-1.1250659,0.28567317,-0.90128493,-1.0847757,0.19683771,1.6219838,0.8460276,-0.25312465,1.110086,0.34016266,0.6875971,0.31768563,-1.3197212,-1.294193,0.050149895,-0.7161596,0.59505135,1
TCGA-A2-A3XY-01,0.08210346,1.2774949,-0.6039725,-0.5945962,-1.455149,0.62852174,0.3152821,-0.77722955,-0.123627394,-0.68222094,-0.36217937,-1.3866853,1.2456996,-0.1332038,0.92614734,0.85496867,0.8029258,-0.20098735,0.78448623,-0.50757504,-0.6335292,-1.7661921,2.9328282,-0.8187065,0.4676018,1.5223948,-0.3477353,-0.15869975,0.12390204,-0.22520365,-0.2529131,-0.46256205,1
TCGA-A2-A3XZ-01,0.26494074,2.4316385,-0.7907628,0.21207736,0.5123311,0.93787676,0.046698697,0.44748658,-0.05749849,0.12494307,-1.5279661,1.0853355,0.21185297,-0.9416811,0.14777811,-1.4066262,-0.9241772,-1.0334727,0.18315148,-0.012907263,-0.7699493,-0.08495061,0.24464697,0.78636396,-0.74062866,-0.5484458,1.0434331,0.078910954,0.51407295,-2.162638,2.0403342,-0.37510768,1
TCGA-A2-A3Y0-01,-1.5743296,-0.41539145,-0.2652397,-0.7465512,-0.61202306,-0.09371041,0.22926514,-0.7461122,1.470064,0.13396801,1.5850372,-0.80378705,-0.88350666,-1.2444166,-0.26172525,-0.14820395,0.26451984,-1.43249,0.87208545,-1.6241938,-0.6597758,-0.07210199,-2.1044207,-1.8861157,-2.0444944,1.0267471,1.1309266,0.0071310736,-1.1249641,-1.858256,1.2652652,-0.17467597,1
TCGA-A2-A4RW-01,-1.9852275,0.3575148,-0.7591065,-0.26422107,-0.8084439,0.7054308,-0.47042572,-0.14178087,-0.59465516,0.49142906,-0.9864082,0.33557272,0.8895848,-0.32084164,0.09684033,-0.0069818823,0.8166818,-0.15825559,0.7700718,2.4028513,-0.3650805,0.40688542,2.3496215,0.9150865,-0.33717865,0.55181456,0.3508237,-0.28084406,-0.2871486,-0.541961,0.25626567,0.10275479,1
TCGA-A2-A4RX-01,-0.2323123,-0.06282092,-1.0220315,-0.9862798,-0.79287887,-1.0881275,1.6389396,-1.6166992,-1.6363168,0.76478815,0.8273039,-0.13930283,1.4815681,-0.83664924,-1.6815412,-0.7396888,1.8845563,-0.006912994,-0.94813085,0.688704,-1.2201294,-0.16845128,-0.36092272,-1.3089697,0.74977386,-0.99586713,1.4766606,1.289562,-1.5606306,1.3069649,-0.3974876,-1.248069,1
TCGA-A2-A4RY-01,-0.7175102,-0.6306957,1.4415842,1.1329657,1.0532703,-1.4044135,0.46452695,0.67983365,-0.7702905,1.512285,0.2512503,0.57021445,-0.056934953,0.20465279,-0.38715938,0.97766334,-0.3443904,-1.2927291,-0.89047843,-0.2185188,-0.4840286,-0.014688331,0.865504,-0.3131766,0.6336823,-1.1168256,0.76737607,-1.1328429,-0.7020968,-0.832357,0.22298819,-1.6384847,1
TCGA-A2-A4S0-01,0.32708248,-0.1372934,0.047479652,1.3899207,0.05173996,0.6138617,-0.558368,0.26159653,-1.1434205,0.30864194,2.3787193,0.37892884,0.17491569,0.41159266,-0.68415165,-0.39341548,1.2152746,-0.6677958,0.6985632,-0.47630742,0.07027194,0.88086617,-0.020806985,-0.25101867,0.26005068,-1.3220657,-0.00060109165,0.72748786,-1.2684406,0.50061977,0.52606714,0.20322299,1
TCGA-A2-A4S1-01,1.3337399,0.42190865,-0.11328183,0.46790382,-0.018062174,-0.044767216,-0.08215846,0.41358772,0.15296884,0.13707207,-0.28808278,-0.36247858,-1.2477409,-1.7254589,1.9626565,1.1316553,-1.0603099,0.80170834,0.3293382,1.219924,-1.3476174,-1.7575809,-0.058484457,0.17216277,-2.2893078,-1.743248,-0.5391484,-1.6463345,-0.2081979,-0.010244292,-2.0529892,-1.1605283,1
TCGA-A2-A4S2-01,-0.26761332,0.23608208,0.02380998,-0.37971258,0.07740216,0.24218066,-0.00823978,0.8508301,0.51910347,-0.5807099,-1.2394788,-0.744218,2.3181565,-0.22997007,0.4556391,-0.2217985,0.10129321,0.75796425,-0.6912699,1.0199009,-1.4276654,0.4956774,-1.1513023,0.007932322,0.30040058,0.028961807,-0.5307903,1.7898898,-0.12517513,0.40111077,-1.0796479,-0.8080294,1
TCGA-A2-A4S3-01,-0.60719377,0.84049284,-1.4597763,-1.2146938,-0.59265083,-0.07136383,1.6815041,-0.10089666,0.3871915,0.13867112,-0.75812507,-1.2858677,-0.7405027,0.24532719,1.1551255,-2.8082302,-1.4797751,0.06513056,-0.46886748,-0.97620296,-0.7408419,0.89203566,0.54154766,1.5929422,0.19593903,1.5033219,-1.35464,-0.87404406,0.6397334,0.3544681,-1.6856484,-0.45515415,1
