submitter_id.samples,mrna_vae_1,mrna_vae_2,mrna_vae_3,mrna_vae_4,mrna_vae_5,mrna_vae_6,mrna_vae_7,mrna_vae_8,mrna_vae_9,mrna_vae_10,mrna_vae_11,mrna_vae_12,mrna_vae_13,mrna_vae_14,mrna_vae_15,mrna_vae_16,mrna_vae_17,mrna_vae_18,mrna_vae_19,mrna_vae_20,mrna_vae_21,mrna_vae_22,mrna_vae_23,mrna_vae_24,mrna_vae_25,mrna_vae_26,mrna_vae_27,mrna_vae_28,mrna_vae_29,mrna_vae_30,mrna_vae_31,mrna_vae_32,label_mrna
TCGA-HN-A2NL-01,-2.1066103,-0.15704092,-0.68990254,0.3461496,2.2489805,0.44529307,0.67971253,0.7164952,0.813673,0.41103083,1.342565,1.3138506,0.2469823,-0.09699802,-0.082241766,-0.1216849,-0.9067869,0.75510824,-0.033966843,-0.25713766,0.059641402,-0.86525536,-0.5236784,-0.5020723,0.21180703,-0.7759624,-0.2205433,-0.18353988,-0.34763,-0.7010557,-0.6067416,-0.59415424,1
TCGA-HN-A2OB-01,0.11626869,0.72309107,-1.1873587,2.0156314,-0.9582315,0.95615447,-0.25288498,-0.605451,-0.08712656,-0.93614095,-0.27584282,-1.4459704,-0.387045,0.22426653,-0.18685901,0.8278027,-1.3077928,-1.445971,-1.4554873,1.0303134,0.022341115,0.15841542,-0.5978224,0.33251944,0.26543614,-0.10429146,0.6619539,-0.5990547,0.053095818,0.25269976,1.3660547,-0.8297594,0
TCGA-JL-A3YW-01,-0.45252982,-0.9069484,-1.1047345,-1.0261288,-1.1429594,1.1527605,1.2569264,-2.6572418,-0.0053388355,-0.018974941,-0.16634668,1.1988802,0.3522222,-2.430577,2.1558943,-0.0039479425,0.6477802,0.75351983,0.5765381,1.2205511,-0.1403589,1.7746282,1.3834727,1.2775943,1.9036471,0.20246759,1.491869,-0.56802696,-0.13757025,-0.6418735,0.5821205,-0.8843582,1
TCGA-JL-A3YX-01,0.6730657,-0.34531114,0.9680277,-0.56870717,-1.1814637,1.2324393,1.6933737,0.2772931,-0.47240525,1.4622061,-0.52060294,2.140813,0.11047534,-1.2661151,-1.3578573,0.51974386,-1.3222997,0.9999438,1.2758427,-0.23138209,-1.572822,0.99167275,-0.40235263,0.6469425,-2.5511646,-0.10025578,-0.79729724,0.35710016,-1.0648034,-1.8260329,1.9449183,1.1167336,1
TCGA-LD-A66U-01,0.84659344,-1.1665438,-1.2889286,0.68597347,-0.45954153,-1.9823455,-0.6953256,0.16633973,1.0661011,0.55222434,0.51761895,1.4292066,-0.112853214,0.1137323,2.2785163,0.610443,0.3425424,0.9970113,-0.101541504,-0.31073034,-0.027441496,-1.0425082,-0.5474476,0.12069961,-0.9692003,-2.1451511,0.40712106,0.16912282,0.56304544,1.1303385,-0.45769122,-0.3453135,1
TCGA-LD-A74U-01,-0.6559788,-0.42041942,-0.7129734,-0.37685537,0.27589235,0.2824722,0.8652283,0.25041202,0.68189263,-0.39652205,-1.9806432,-1.6827067,0.23462439,0.20148815,-0.0913121,-0.35180768,-1.2098252,-0.6533792,0.37353638,-0.47574297,1.264193,-1.5166982,1.0920857,-0.567708,-1.5768523,-1.5089178,-0.931931,0.76912445,0.9539296,-1.646264,0.5880253,0.53289294,1
TCGA-LD-A7W5-01,1.2340907,-0.31729978,0.1330028,-0.39415446,1.531316,1.4027228,-0.576062,2.631786,-0.053256698,-1.0624642,-0.86500764,-0.5684381,1.0823349,1.7762954,-1.5556396,0.7043282,-0.6317797,0.14515169,0.0893548,-0.17740558,1.3662881,0.063975796,-0.25868705,-1.2829957,-0.021928813,0.3961595,-0.7757569,-0.38725322,-0.4706002,-0.69457257,-0.37398803,0.0044968664,1
TCGA-LD-A7W6-01,-1.243049,0.8906751,0.65615135,-0.039233606,-0.78673196,-1.5812988,0.036923386,-0.15414537,1.6519085,0.5176129,1.2871333,2.280617,1.4423531,-0.85871893,-0.62161565,0.10037234,0.64259803,-0.7606817,-0.34627312,0.05043082,-0.72029305,-2.137699,-1.0287905,1.4556477,0.044792157,1.5494902,0.101583265,-0.88706243,-0.0033708476,1.5791678,-1.9121437,-2.1985605,1
TCGA-LD-A9QF-01,-0.87066853,0.8055194,-1.2043844,-0.79095167,1.0241444,0.45408425,1.1795887,-0.57421666,1.4857773,-0.12659946,-2.3171184,0.0071676625,-0.44510135,1.3905431,0.52534556,0.81831396,-1.216559,2.159655,-0.1339855,1.6859577,-1.6499592,0.07424973,-0.5048609,0.6001084,0.89566135,-1.2366666,-0.47118542,0.6117532,0.06903188,-0.42520645,0.098064534,1.1611105,1
TCGA-LL-A440-01,-0.6983276,1.080449,1.1025621,0.47504753,-0.7205389,1.8043201,1.6385797,0.06788222,0.2663431,0.7146088,-0.8621908,1.1043209,-0.014191955,-0.73732156,0.9349812,-0.38228378,0.6495914,1.3076719,0.5082994,-0.03242631,-1.0733536,-1.6717365,0.7084591,-0.6960379,-0.11129545,-0.75498337,-0.10090337,-2.31906,0.81860834,-0.9696728,0.31324357,0.30488932,1
TCGA-LL-A441-01,-0.08415088,-0.46447903,0.9586032,0.37220496,0.20245528,-0.5094506,-1.5916384,0.8431811,-1.5463353,0.39117968,-0.25258645,-1.7882606,-0.036349643,0.7601663,-0.26674592,1.3440819,-1.0108701,-0.43566185,-1.8938006,-0.90213454,-0.4049197,-1.7252588,0.74926174,2.4446528,0.5277319,0.9107035,0.969571,0.9840353,-1.5757226,-1.1932485,0.20912866,-1.6259667,1
TCGA-LL-A442-01,-0.17132168,0.7225281,1.6823524,0.6509842,-0.6333111,0.5065845,0.63917744,0.24944456,1.8721449,1.8195214,1.2443464,-1.6273348,-1.1932951,1.019627,-3.4469984,1.4721627,-0.4009152,-1.6135647,-1.0196913,0.015938595,-0.5567215,-1.418371,-0.80525416,0.008769348,1.8268852,1.0598273,0.44297096,0.022067599,1.2806677,0.24381942,-1.2106546,-0.69973177,1
TCGA-LL-A50Y-01,-1.1018233,-2.090498,1.5132949,1.4715383,0.0149697885,0.44087613,1.5179265,0.7486884,0.030328685,-0.08434527,-0.28488064,-1.2974933,-0.9486904,-0.52954835,-0.07856266,0.54520535,-0.3436941,-0.6122911,-1.1133639,1.0560861,-1.1368711,-0.79245025,0.29207644,0.708651,-0.4869591,0.5935954,-1.8578255,0.033474054,0.97208786,-0.07951422,-0.8969174,-1.021863,1
TCGA-LL-A5YL-01,-1.661933,-0.39694238,0.23126593,-1.0410678,1.2547754,-1.5588909,-0.92640847,1.9770691,0.17406292,-1.195003,0.10679525,-1.632065,0.80652833,-0.9526432,-0.37014958,-0.5591251,-1.5798774,-1.468547,0.21477321,0.09329716,0.17404735,1.4469168,0.062520675,2.51275,0.7154656,-0.2904275,-2.0898395,1.0940504,0.15925315,1.4684151,1.3118802,-0.44108078,1
