submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-A2-A04Q-01,-0.52774256,-0.5595227,-0.5020129,1.0447152,0.415427,-0.7012559,-0.36513975,-0.4205997,0.048614573,1.0115933,0.81193674,-0.13744983,0.6293127,1.4943103,0.42585492,0.019709619,-1.1722516,0.2860748,0.8980444,0.7108637,1.5905354,-1.3520987,-0.5603732,0.4080825,-2.009113,0.29288536,-0.33857077,0.6027065,-0.5203274,0.13134065,-0.6068934,1.5783186,0
TCGA-A2-A04R-01,-0.13704523,-0.49143395,1.4860547,0.74913585,0.20834215,0.13464843,-0.46371767,1.4493179,1.3017612,1.7003773,-0.82873595,0.7860871,-0.50082964,1.4104872,0.40313205,-0.8642365,1.1030731,-0.3267144,0.9919347,-0.6034339,1.8910387,0.618609,0.11538486,0.2525168,-2.098354,0.3717276,0.49524084,-0.06631236,-1.1465895,0.87675446,1.1749732,-0.11832774,0
TCGA-A2-A04T-01,0.14238127,-0.02188805,1.1280694,-2.6614277,0.5463018,-0.87260705,0.8185282,-1.2788175,-0.5205978,1.1064726,0.08364317,-1.4245225,1.3346627,-0.56920147,0.2520121,0.3708354,-0.29737276,-0.17570789,1.0014129,-1.0565213,0.76145494,1.0005072,-1.2076491,2.1471374,-0.37139803,-0.6776604,-1.0720285,0.8814252,-0.6257026,-0.49122602,-0.44009477,0.63138795,0
TCGA-A2-A04U-01,-0.29161683,0.11434901,0.07843922,-0.85491765,0.7479092,0.45820397,0.97279495,0.21749549,1.1583813,-0.40273678,0.37870088,-0.22176443,1.0210054,-0.0022103172,-1.4633629,-1.1597781,0.969177,-0.35892892,0.7894076,1.0356301,0.08671956,0.32309043,0.09356871,-0.7268004,0.8700116,0.40499526,-0.72184414,0.813553,0.4551251,0.80189985,0.83326995,-0.16807349,0
TCGA-A2-A04V-01,-0.49238887,0.6768508,1.1031009,-1.4420527,0.30073288,1.4192321,-0.73213214,0.36939436,1.6095531,1.0342667,1.1005005,1.0581243,-0.46638018,1.9883319,1.2710581,0.6271415,-1.3619331,-0.34853968,-1.3579476,-0.80247647,0.27284473,-0.39008796,-0.37726077,0.054848753,1.4736155,0.20850587,-0.41357565,0.8089637,-1.2159275,-0.5698282,0.47585312,-0.042353824,0
TCGA-A2-A04W-01,-1.5875021,-0.7146787,0.52568316,0.58658767,0.1487789,0.17634328,-0.5868258,0.48279637,0.064996794,-1.8597723,-1.165619,0.85767144,-1.4788393,-1.6742771,-0.6056955,0.1721135,1.1186118,0.52928966,-0.5581063,-1.1610852,0.055777248,1.258273,0.62764925,0.66258717,-0.43261322,2.0041976,1.1042964,0.9051375,1.5284922,-0.22272186,0.3230931,0.4595682,0
TCGA-A2-A04X-01,-1.4917861,0.41911653,1.1390715,-0.8017704,-1.4009733,0.7597135,-0.100013316,0.04946851,1.3495327,-1.7014515,0.044513308,0.9625951,0.24595323,-0.059901536,2.9840753,1.4453942,-0.24176846,-1.0047195,0.749077,-2.1188915,-0.31763476,2.796016,1.1924167,-0.59203243,1.6973178,0.2145188,1.7937341,0.26086098,-0.20581995,-0.08289835,0.25732535,0.23476988,1
TCGA-A2-A04Y-01,-0.42371434,-1.6460608,0.9402455,0.56807977,-0.3644899,0.42156264,-0.860192,0.3247552,-0.57064676,-3.6357088,-0.0465476,0.571399,0.26953486,-1.5640119,0.9677017,-0.23600414,0.73646986,0.1641518,-0.07003161,-0.7687022,-1.1970981,0.42020336,-0.9011183,-1.1651537,-0.8240988,-0.37094045,0.8379655,-0.18697506,-0.49487448,-1.5238785,0.73436373,0.83578897,1
TCGA-A2-A0CK-01,-0.63589597,-0.51450443,-0.63638306,-0.2350094,0.8818082,-0.19421701,1.1117241,0.9135062,1.6731875,1.4605912,2.674585,0.73368114,0.0637694,-0.38140965,-2.3126414,-0.110083774,-1.1286532,-0.05943338,-1.3982054,-0.6685449,-0.45758718,0.6269964,-1.6824639,-1.2536668,2.096657,0.3793629,0.25368184,0.18289444,-0.037114274,-0.35737783,1.4561609,-1.1881598,0
TCGA-A2-A0CL-01,-1.0150974,-0.011925168,-1.5256933,1.0130444,1.2063955,0.26913157,1.6519661,-1.1427996,2.4489768,0.20130198,0.5995263,-0.7599508,-0.56644356,0.7927298,1.6973073,0.6934412,0.09517175,-0.19045068,-0.11016567,-0.20303127,1.478168,-0.7177573,0.31788138,-0.7086518,0.7155025,-1.1257216,-0.99209785,-0.4045335,0.758654,-1.0928447,2.0474584,-0.025152445,0
