submitter_id.samples,dna_vae_1,dna_vae_2,dna_vae_3,dna_vae_4,dna_vae_5,dna_vae_6,dna_vae_7,dna_vae_8,dna_vae_9,dna_vae_10,dna_vae_11,dna_vae_12,dna_vae_13,dna_vae_14,dna_vae_15,dna_vae_16,dna_vae_17,dna_vae_18,dna_vae_19,dna_vae_20,dna_vae_21,dna_vae_22,dna_vae_23,dna_vae_24,dna_vae_25,dna_vae_26,dna_vae_27,dna_vae_28,dna_vae_29,dna_vae_30,dna_vae_31,dna_vae_32,label_dna
TCGA-BH-A18S-11,-0.09948574,1.1736615,0.87323904,-1.2751745,-1.0262935,-0.7622953,0.4061752,-0.12357107,-0.040709827,-0.6629004,-0.39686894,-0.4416253,0.38943952,0.27644113,-0.5630734,-0.23702624,-1.3255978,0.9844694,-0.9037205,-0.42576897,-0.6816525,0.040494576,-0.98950714,0.17697313,-1.7384598,-0.7865282,1.4317907,-0.63896054,-0.08999619,1.4827316,1.485441,0.12153054,0
TCGA-BH-A18T-01,-0.8026869,0.7983996,0.41635022,0.5054932,0.45415056,-1.321509,-1.049222,2.858226,-0.4377558,-1.654295,-0.09903467,-0.7185741,0.27329162,-2.4832513,1.4649584,0.59442633,0.318489,-0.6695519,-1.0849849,-0.82940316,-0.34985638,-0.62329495,-1.6189585,0.030948784,2.0701053,-1.6849499,-0.663438,-1.7489384,-0.83601433,-0.36865306,0.085308,-1.1066339,1
TCGA-BH-A18U-01,-1.2261599,-0.13023686,-0.58770764,-0.6299769,0.119807675,-0.028964791,-0.98807925,-1.0238751,-1.7262715,-0.96519154,0.8241126,0.080404416,0.7161026,-2.077298,0.43851373,-0.95349663,-1.1699785,-0.4527839,0.69811195,-1.4877547,0.9550863,-0.2511335,1.4149752,0.6920122,0.28816217,0.54906195,0.99130875,-2.074268,-1.8271451,-0.47112966,0.33282956,-0.47691867,1
TCGA-BH-A18U-11,-0.17210189,-0.8498634,-1.5393753,0.9180708,0.76390916,-0.5564877,0.77766216,2.64445,-0.8722635,0.24687842,0.5504165,-0.51440525,0.7338556,1.8254806,0.43119043,-0.09531948,0.27105823,-1.2629468,-0.2591754,0.9240228,-1.2431544,-0.72268075,0.51834637,-0.5939193,-0.30161878,-1.3913007,0.24877904,0.060571995,0.09943911,0.12042779,0.84109735,-1.4375844,1
TCGA-BH-A18V-01,0.877346,-0.19733427,1.4802209,-0.32207295,-0.44210097,-0.70665276,-0.9083044,-0.25822884,0.068353206,2.182196,1.0017601,-0.18513432,-0.229677,-1.1167275,0.7599783,0.26255316,-0.022785483,-0.7473668,-2.2966535,-1.0151657,0.1354835,-0.67267203,-1.4047087,0.097164385,1.1173532,-0.17522447,0.47976404,0.8417561,-0.4408086,0.93577665,0.995958,0.36900988,1
TCGA-BH-A18V-06,-0.67552465,0.5276778,2.1528897,0.33767816,-0.24885806,0.7251301,0.9283644,2.5642161,2.138737,2.1802952,-0.23390703,-0.33778188,-0.08006221,-0.32397282,0.8446402,0.89781356,-1.0516516,-0.2635896,2.4818208,1.0844855,0.97340673,-1.0259396,0.44840255,-0.6588763,-0.16062467,-0.5474788,-0.38296482,-2.1978657,0.6025186,1.7685533,0.5815626,2.491183,1
TCGA-BH-A18V-11,-0.63867563,0.31483546,-0.58356917,1.1923409,-1.7032456,-0.5952406,1.0060413,-1.5844201,0.104983486,-0.16887583,1.8597295,0.4772966,1.7556434,-0.1446457,-0.10089177,-0.45687744,0.54478043,-1.803159,1.963151,-1.1111808,0.81284845,0.098984145,0.2227588,-0.16321369,0.21698816,-0.585655,0.76874876,0.53720653,-0.11739794,-0.61589026,0.057380203,-1.2345803,1
TCGA-BH-A1EN-01,0.7657288,0.56809354,-1.8386326,-0.34031633,-0.9398253,1.4910762,1.2418044,-0.039250404,-1.0270329,-0.8921473,-0.39790365,-0.7204277,0.47910535,-1.4226955,0.8810455,0.032899644,1.0320255,1.526452,2.340321,1.5973344,0.064063065,-0.7865804,-0.1282219,0.9306443,2.3658953,0.48265216,0.66576916,0.4261676,0.9126416,1.0829799,0.9942283,0.29551876,0
TCGA-BH-A1EN-11,-0.6240357,1.188633,-0.5641263,0.030561129,1.3368087,-0.75595003,-1.9441813,-0.3501509,-0.96520245,-0.22613864,-0.512948,0.21662816,0.49179462,0.6168106,-0.76364124,-0.45645034,-1.5160534,-0.5438058,-1.6184962,0.5563416,0.9640297,0.64212835,0.3900075,2.184135,-0.31964016,-0.4086117,0.19081958,0.38765934,-0.09359987,-0.89730287,2.5590644,-0.025596244,0
TCGA-BH-A1EO-01,-0.2736509,0.9822956,1.082886,-1.1182371,0.24830467,0.23362544,1.6064637,-1.4517591,0.4545642,-0.75698787,2.228869,0.97664976,1.561517,-2.1039824,1.785215,-1.4006916,1.1988066,-0.24718083,-1.396329,-0.84412324,0.38854596,0.23767586,1.2263659,-1.3315899,1.1010716,1.711267,0.8120903,1.9427295,-1.1411501,-1.4964702,-1.0932484,0.173041,0
